n,m,seed,LB_type,time_ms
10,20,954437176,4,69450.41980000678
10,20,1193046470,0,157736.8020999711
10,20,1193046470,1,110662.51870000269
10,20,1193046470,2,222739.5530999638
10,20,1193046470,3,94648.65079999436
10,20,1193046470,4,64131.05369999539
10,20,1431655764,0,52734.74529996747
10,20,1431655764,1,55254.242499999236
10,20,1431655764,2,115771.90940000582
10,20,1431655764,3,68256.15620001918
10,20,1431655764,4,42574.90750000579
10,20,1670265058,0,66834.80650000274
10,20,1670265058,1,50927.01709998073
10,20,1670265058,2,109448.00710002892
10,20,1670265058,3,67043.24080003425
10,20,1670265058,4,33900.376600038726
10,20,1908874352,0,77947.20270001562
10,20,1908874352,1,77113.35139995208
10,20,1908874352,2,177118.92829998396
10,20,1908874352,3,102021.5364000178
10,20,1908874352,4,82163.94190001301
10,20,2147483646,0,59351.0303000221
10,20,2147483646,1,50334.6343000303
10,20,2147483646,2,98129.02680004481
10,20,2147483646,3,47567.3523999867
10,20,2147483646,4,27658.019899972714
